date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:27:44	92763/92763	---M-Z	200	added ('OK')	text/html	etag:%2214f80508-16508-51d8f294d1680%22	http://demo.geekslabs.com/materialize/v2.2/layout03/index.html	/home/coldware/websites/uyab/demo.geekslabs.com/materialize/v2.2/layout03/index.html	(from )
14:27:44	200/200	---M-Z	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2030%20Apr%202018%2007:27:37%20GMT	http://demo.geekslabs.com/robots.txt		(from )
14:27:45	3867/3867	---M--	200	added ('OK')	image/png	etag:%2214f8059b-f1b-515c93b984d00%22	http://demo.geekslabs.com/materialize/v2.2/layout03/images/favicon/favicon-32x32.png	/home/coldware/websites/uyab/demo.geekslabs.com/materialize/v2.2/layout03/images/favicon/favicon-32x32.png	(from http://demo.geekslabs.com/materialize/v2.2/layout03/index.html)
14:27:45	7906/7906	---M--	200	added ('OK')	image/png	etag:%2214f80599-1ee2-515c93f4a5880%22	http://demo.geekslabs.com/materialize/v2.2/layout03/images/favicon/apple-touch-icon-152x152.png	/home/coldware/websites/uyab/demo.geekslabs.com/materialize/v2.2/layout03/images/favicon/apple-touch-icon-152x152.png	(from http://demo.geekslabs.com/materialize/v2.2/layout03/index.html)
14:27:45	197726/197726	---M-Z	200	added ('OK')	text/css	etag:%2214f80421-3045e-515c35c3f1f80%22	http://demo.geekslabs.com/materialize/v2.2/layout03/css/materialize.css	/home/coldware/websites/uyab/demo.geekslabs.com/materialize/v2.2/layout03/css/materialize.css	(from http://demo.geekslabs.com/materialize/v2.2/layout03/index.html)
14:27:47	41318/41318	---M-Z	200	added ('OK')	text/css	etag:%2214f80422-a166-51d8f294d1680%22	http://demo.geekslabs.com/materialize/v2.2/layout03/css/style.css	/home/coldware/websites/uyab/demo.geekslabs.com/materialize/v2.2/layout03/css/style.css	(from http://demo.geekslabs.com/materialize/v2.2/layout03/index.html)
14:27:47	524/524	---M--	200	added ('OK')	text/css	etag:%2214f80424-20c-51d8f294d1680%22	http://demo.geekslabs.com/materialize/v2.2/layout03/css/custom-style.css	/home/coldware/websites/uyab/demo.geekslabs.com/materialize/v2.2/layout03/css/custom-style.css	(from http://demo.geekslabs.com/materialize/v2.2/layout03/index.html)
14:27:47	8437/8437	---M--	200	added ('OK')	image/png	etag:%2214f8059a-20f5-515c9407b8580%22	http://demo.geekslabs.com/materialize/v2.2/layout03/images/favicon/mstile-144x144.png	/home/coldware/websites/uyab/demo.geekslabs.com/materialize/v2.2/layout03/images/favicon/mstile-144x144.png	(from http://demo.geekslabs.com/materialize/v2.2/layout03/index.html)
14:27:47	1156/1156	---M--	200	added ('OK')	text/css	etag:%2214f8041f-484-51d0af02e5500%22	http://demo.geekslabs.com/materialize/v2.2/layout03/css/style-horizontal.css	/home/coldware/websites/uyab/demo.geekslabs.com/materialize/v2.2/layout03/css/style-horizontal.css	(from http://demo.geekslabs.com/materialize/v2.2/layout03/index.html)
14:27:47	5026/5026	---M--	200	added ('OK')	text/css	etag:%2214f804fb-13a2-51580bb2f7500%22	http://demo.geekslabs.com/materialize/v2.2/layout03/js/plugins/perfect-scrollbar/perfect-scrollbar.css	/home/coldware/websites/uyab/demo.geekslabs.com/materialize/v2.2/layout03/js/plugins/perfect-scrollbar/perfect-scrollbar.css	(from http://demo.geekslabs.com/materialize/v2.2/layout03/index.html)
14:27:48	751/751	---M--	200	added ('OK')	text/css	etag:%2214f80440-2ef-51580baf26c00%22	http://demo.geekslabs.com/materialize/v2.2/layout03/js/plugins/jvectormap/jquery-jvectormap.css	/home/coldware/websites/uyab/demo.geekslabs.com/materialize/v2.2/layout03/js/plugins/jvectormap/jquery-jvectormap.css	(from http://demo.geekslabs.com/materialize/v2.2/layout03/index.html)
